user_id,/tutorial/step-three,/tutorial/step-two,/tutorial/step-one,/,/signup,/features,/tutorial/intro,/tutorial/end,/features/web,/pricing,/tutorial/step-four,/features/mobile,/features/desktop,/about
96,0,0,0,2,18,0,4,0,5,0,0,0,0,0
97,18,16,18,11,4,0,15,9,0,0,16,0,11,0
98,13,1,6,20,14,0,13,15,16,0,10,15,0,0
99,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,0,0,0,12,10,0,0,0,0,0,0,3,0,0
101,0,0,0,19,0,0,0,0,0,0,0,0,0,0
102,0,0,0,1,13,0,0,0,0,0,0,12,0,0
103,0,0,0,14,0,0,0,0,11,0,0,0,0,0
104,18,3,5,8,3,13,18,15,16,0,11,0,0,0
105,0,0,0,6,10,0,12,0,0,0,0,0,0,0
106,0,0,0,3,0,0,0,0,0,0,0,0,0,0
107,0,0,0,18,0,0,0,0,0,0,0,0,0,0
108,7,13,4,17,10,0,11,10,0,0,9,0,0,0
109,1,14,9,10,14,0,20,0,0,0,10,0,17,0
110,8,7,13,2,15,0,11,0,2,0,12,9,4,19
111,0,0,0,2,1,0,0,0,0,0,0,0,2,2
112,0,0,0,2,0,0,0,0,0,0,0,0,0,0
113,13,20,13,17,16,0,5,0,17,0,0,0,0,0
114,0,0,0,5,0,0,0,0,0,0,0,0,0,0
115,0,0,0,1,2,0,0,0,0,0,0,4,0,0
116,6,19,19,14,3,0,12,0,0,0,0,6,0,0
117,0,0,0,2,2,0,0,0,0,0,0,2,0,0
118,0,0,0,9,0,0,0,0,0,0,0,0,0,0
119,14,9,2,19,13,20,11,0,0,0,0,18,0,0
120,13,2,5,11,10,0,15,0,0,0,0,0,0,0
121,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,14,20,18,4,8,0,10,19,0,0,8,0,14,0
123,4,14,5,10,18,0,3,1,0,0,4,0,12,0
124,0,0,0,14,1,0,0,0,18,0,0,16,0,0
125,0,0,0,14,1,0,0,0,0,0,0,0,0,0
126,0,0,0,3,0,0,0,0,0,0,0,0,0,0
127,4,16,12,11,3,0,17,11,0,0,13,14,0,11
128,0,0,0,16,0,0,0,0,0,0,0,0,0,0
129,0,0,0,16,0,0,0,0,0,0,0,0,0,0
130,19,11,14,19,4,0,5,3,16,0,13,0,0,0
131,0,0,0,1,1,0,0,0,0,0,0,0,0,0
132,0,0,0,13,15,0,0,0,1,14,0,0,0,0
133,0,0,0,11,20,0,16,0,0,0,0,18,0,0
134,0,0,0,8,0,0,0,0,0,0,0,0,0,0
135,1,9,4,9,15,6,1,1,0,0,18,17,0,0
136,8,4,2,8,8,0,4,2,8,0,5,0,0,0
137,17,5,12,5,4,0,16,1,0,0,19,0,0,0
138,0,0,0,2,14,0,0,0,0,0,0,0,0,0
139,13,9,18,12,6,0,6,20,9,0,4,4,0,0
140,0,0,7,20,12,0,8,0,0,0,0,0,0,0
141,0,0,0,8,0,0,0,0,0,0,0,0,0,0
142,0,0,0,12,0,0,0,0,0,0,0,0,0,0
143,0,0,0,7,5,0,0,0,0,0,0,20,4,14
144,0,0,0,14,0,0,0,0,0,0,0,6,0,0
145,0,0,0,12,16,0,0,0,9,0,0,0,0,0
146,19,16,19,9,10,0,3,2,0,0,11,12,0,0
147,11,11,12,7,8,0,5,0,0,0,1,0,0,0
148,0,0,0,12,0,0,0,0,17,0,0,6,13,0
149,18,7,18,18,13,0,11,13,0,20,14,0,0,0
150,0,0,0,13,18,3,0,0,0,0,0,0,12,0
151,0,0,0,1,2,1,0,0,0,2,0,0,2,0
152,0,0,0,20,0,0,0,0,0,0,0,12,0,0
153,0,4,3,9,12,0,1,0,0,0,0,0,0,0
154,0,0,0,12,0,0,0,0,0,0,0,0,0,0
155,9,5,2,1,10,0,15,19,0,0,18,0,0,0
156,0,0,0,2,0,0,0,0,0,0,0,1,0,0
157,0,0,0,20,11,16,9,0,0,0,0,0,0,9
158,13,10,19,2,8,20,6,16,4,0,4,0,0,0
159,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160,0,0,0,1,0,0,0,0,0,0,0,0,0,0
161,0,0,0,8,1,0,0,0,15,0,0,0,0,0
162,0,0,0,5,0,0,0,0,0,0,0,0,0,0
163,1,8,16,15,10,0,15,9,0,0,4,0,0,0
164,0,0,0,2,0,0,0,0,2,0,0,0,0,0
165,0,0,0,4,2,0,0,0,0,0,0,0,0,0
166,0,0,0,2,6,0,0,0,0,0,0,0,0,0
167,0,0,0,6,0,0,0,0,0,0,0,0,0,0
168,12,17,17,17,11,0,4,1,0,0,12,0,0,0
169,0,0,0,1,2,0,0,0,0,0,0,0,0,0
170,0,0,0,15,0,0,0,0,0,0,0,0,0,0
171,0,0,0,1,1,0,0,0,0,0,0,0,0,0
172,0,0,0,12,12,0,0,0,0,0,0,0,0,0
173,0,0,0,5,0,0,0,0,0,0,0,0,0,0
174,0,0,0,15,0,0,0,0,0,0,0,0,0,0
175,0,0,0,18,19,0,2,0,0,9,0,19,0,0
176,10,15,1,15,20,0,10,7,3,0,11,9,0,0
177,0,0,0,19,16,0,5,0,0,0,0,7,0,0
178,0,19,8,12,1,9,18,0,0,0,0,16,0,0
179,8,9,6,7,13,0,3,8,0,0,1,0,0,0
180,0,0,0,17,6,0,0,0,0,0,0,3,0,0
181,3,11,13,15,14,0,16,0,0,0,3,5,19,0
182,13,3,8,11,20,0,18,18,0,0,7,0,19,0
183,13,3,13,8,18,0,9,19,7,12,13,0,0,0
184,14,18,5,15,19,0,5,6,0,0,8,0,0,0
185,0,0,0,3,18,0,0,0,0,0,0,0,0,0
186,12,20,18,15,9,18,10,1,0,0,7,0,0,0
187,9,15,7,2,15,0,18,4,0,17,7,0,0,0
188,0,0,0,17,0,0,0,0,0,0,0,0,0,0
189,12,6,8,10,12,0,2,5,12,0,16,0,2,0
190,0,0,0,16,0,9,0,0,0,0,0,0,0,0
191,10,8,19,2,5,0,20,0,9,0,0,7,0,0
192,0,0,0,20,10,0,13,0,0,0,0,0,0,0
193,0,0,0,2,0,0,0,0,0,0,0,0,0,0
194,0,0,0,12,11,0,0,0,0,0,0,1,0,0
195,0,0,0,12,0,12,0,0,0,0,0,0,0,0
196,6,6,11,12,16,0,5,4,0,0,14,2,0,0
197,17,1,15,19,20,0,7,4,13,0,12,0,0,0
198,0,13,13,12,1,0,14,0,0,0,0,10,0,0
199,0,0,0,13,0,17,0,0,0,0,0,0,0,0
200,0,0,0,1,1,0,0,0,1,0,0,0,0,0
201,0,0,0,15,0,3,0,0,17,0,0,0,2,0
202,0,0,0,1,0,0,0,0,0,0,0,0,0,0
203,0,0,0,4,0,0,0,0,0,0,0,0,0,0
204,6,1,20,8,6,0,14,0,20,0,10,0,16,0
205,0,0,0,2,0,0,0,0,0,0,0,2,0,0
206,4,3,1,14,17,1,4,11,0,0,10,0,0,0
207,0,0,0,18,9,0,0,0,0,15,0,0,0,0
208,0,3,6,20,14,0,4,0,0,0,0,0,0,0
209,2,18,16,6,1,0,9,13,12,0,8,0,9,12
210,0,0,0,1,0,0,0,0,0,0,0,0,0,0
211,0,0,13,16,4,0,12,0,0,0,0,2,0,0
212,5,10,8,17,16,0,12,0,6,0,0,0,0,0
213,3,6,13,18,18,0,5,11,0,0,20,0,0,0
214,17,9,17,19,5,0,20,4,0,0,10,0,12,0
215,0,0,0,13,0,0,0,0,0,0,0,0,0,0
216,0,0,0,13,4,0,9,0,1,0,0,15,17,0
217,0,0,0,2,1,0,0,0,1,0,0,1,0,0
218,0,0,0,12,0,0,0,0,0,0,0,0,0,0
219,0,0,0,6,0,0,0,0,17,0,0,17,17,0
220,0,0,0,11,13,0,12,0,0,0,0,9,0,0
221,0,0,0,11,4,19,0,0,0,0,0,0,0,0
222,0,0,0,7,11,0,4,0,0,0,0,0,0,0
223,5,8,16,1,20,0,8,13,14,0,3,0,0,0
224,0,0,0,6,19,0,0,0,13,0,0,0,17,0
225,0,0,0,8,0,0,0,0,0,0,0,0,0,0
226,0,0,0,19,1,14,6,0,0,0,0,0,17,0
227,0,0,0,4,16,0,17,0,10,0,0,14,0,0
228,0,0,0,7,0,0,0,0,0,0,0,0,0,0
229,14,4,15,10,1,0,7,0,0,0,0,0,8,0
230,0,0,0,9,0,0,0,0,0,0,0,0,0,0
231,0,0,0,8,8,0,0,0,3,0,0,0,0,0
232,0,3,5,17,7,0,20,0,0,0,0,11,0,0
233,0,0,0,1,0,0,0,0,0,0,0,0,0,0
234,0,0,19,19,19,18,10,0,0,0,0,0,0,0
235,0,5,19,18,18,7,14,0,0,0,0,0,0,0
236,0,0,0,2,1,0,0,0,0,0,0,0,17,0
237,15,12,20,17,4,0,17,0,0,0,0,0,10,0
238,0,0,0,9,15,2,9,0,0,0,0,8,0,10
239,0,0,0,1,9,3,0,0,0,0,0,0,0,0
240,0,0,0,1,9,0,0,0,0,0,0,16,3,0
241,0,0,0,1,18,0,0,0,4,0,0,2,0,0
242,0,0,0,7,0,0,0,0,0,0,0,0,0,0
243,0,0,0,1,2,0,0,0,0,0,0,1,0,0
244,6,7,9,4,3,0,2,5,0,0,8,0,0,0
245,0,3,9,3,20,0,18,0,1,11,0,0,0,0
246,0,0,0,4,0,0,0,0,0,0,0,0,0,0
247,0,0,0,17,0,0,0,0,0,0,0,0,0,0
248,0,9,16,4,1,0,5,0,0,0,0,4,0,0
249,0,0,0,18,0,0,0,0,0,0,0,0,0,0
250,4,2,10,13,12,0,12,11,0,0,18,0,0,0
251,0,0,3,14,14,0,10,0,0,0,0,0,16,0
252,0,0,0,10,6,0,0,0,0,0,0,16,5,0
253,0,1,7,15,11,0,11,0,17,0,0,0,17,0
254,0,0,0,1,0,2,0,0,0,0,0,0,0,0
255,0,0,10,14,8,0,18,0,0,0,0,0,0,0
256,0,0,0,15,20,0,3,0,0,0,0,0,0,0
257,0,0,0,2,1,0,0,0,0,0,0,0,1,0
258,0,0,0,8,1,0,0,0,16,8,0,0,0,0
259,11,17,2,17,16,0,10,16,0,0,1,1,0,0
260,9,11,3,7,1,4,17,1,0,0,4,0,13,0
261,14,3,6,3,3,0,3,0,0,0,0,17,0,20
262,14,7,13,14,11,2,15,0,6,0,0,0,0,0
263,0,0,0,6,0,0,0,0,0,0,0,0,0,0
264,0,0,6,17,13,0,15,0,14,0,0,0,5,0
265,0,0,0,6,13,0,0,0,2,0,0,0,0,0
266,0,0,0,7,2,0,0,0,0,0,0,17,0,0
267,0,0,0,11,0,4,0,0,19,18,0,1,4,0
268,0,0,0,1,2,0,0,0,2,2,0,1,0,0
269,0,0,0,6,17,8,16,0,5,0,0,0,0,0
270,0,0,0,2,0,0,0,0,0,0,0,0,0,0
271,0,0,0,5,9,0,0,0,0,20,0,0,0,0
272,0,0,0,2,19,0,14,0,10,0,0,0,6,0
273,0,0,0,1,2,0,0,0,2,0,0,0,0,0
274,0,0,0,15,0,7,0,0,0,0,0,0,0,0
275,7,4,15,4,15,0,12,0,9,0,0,0,19,0
276,0,0,0,12,0,0,0,0,0,0,0,0,0,0
277,3,13,12,4,4,9,16,0,0,20,0,0,0,0
278,0,0,0,2,1,0,0,0,0,1,0,0,0,0
279,2,15,5,10,1,0,7,0,0,0,0,17,0,0
280,0,0,0,19,0,0,0,0,10,0,0,0,0,0
281,0,0,0,2,13,0,8,0,0,0,0,15,0,0
282,11,4,1,2,19,0,16,19,6,0,17,0,0,15
283,0,0,0,3,11,0,0,0,0,0,0,0,0,0
284,0,0,0,14,0,0,0,0,0,0,0,0,0,0
285,0,17,10,1,18,0,11,0,0,0,0,8,0,0
286,0,0,0,2,2,0,0,0,0,0,0,2,0,0
287,0,0,0,7,14,0,0,0,0,0,0,0,2,0
288,18,15,8,17,14,0,15,18,0,0,15,0,15,0
289,0,0,0,15,4,0,0,0,0,13,0,18,0,0
290,0,0,0,17,20,0,17,0,18,0,0,0,20,0
291,0,16,16,2,17,5,20,0,0,0,0,0,3,0
292,0,0,0,17,0,0,0,0,0,0,0,0,0,0
293,3,6,9,1,9,0,16,6,18,0,1,0,0,0
294,0,0,0,11,0,0,0,0,7,0,0,0,0,0
295,1,16,6,18,8,0,18,6,0,0,4,14,14,0
296,0,0,10,18,12,0,18,0,12,0,0,0,0,0
297,0,0,0,18,0,0,0,0,0,0,0,0,0,0
298,0,0,0,1,1,0,0,0,0,0,0,0,1,0
299,3,3,3,4,3,0,15,0,0,0,12,17,0,0
300,0,0,0,20,0,0,0,0,8,0,0,0,16,0
301,0,0,0,4,0,0,0,0,0,0,0,0,0,0
302,0,0,0,19,0,0,0,0,0,0,0,0,0,0
303,0,0,0,6,1,0,0,0,0,0,0,0,11,0
304,0,0,0,2,0,0,0,0,0,0,0,0,0,0
305,0,0,0,20,0,0,0,0,0,0,0,0,0,0
306,0,13,15,16,20,0,4,0,0,0,0,10,19,0
307,15,14,1,13,4,0,17,16,3,0,19,0,12,0
308,0,0,0,1,0,0,0,0,1,0,0,0,0,0
309,0,15,1,4,14,0,11,0,0,3,0,0,0,0
310,0,0,0,3,0,0,0,0,0,0,0,0,0,0
311,0,0,0,1,0,2,0,0,0,0,0,0,0,0
312,0,0,20,13,2,0,11,0,0,0,0,0,0,0
313,0,0,0,6,0,0,0,0,0,0,0,0,0,13
314,4,14,15,8,13,0,18,10,0,0,20,0,0,0
315,12,5,5,15,16,0,15,10,0,0,7,0,20,0
316,15,13,1,10,1,0,1,6,5,0,17,0,0,0
317,0,0,0,16,4,0,0,0,8,0,0,0,17,0
318,0,0,0,4,0,0,0,0,0,0,0,0,0,0
319,0,0,9,8,19,0,12,0,0,0,0,0,0,0
320,0,0,0,13,0,0,0,0,0,0,0,0,0,0
321,0,0,0,1,2,0,0,0,0,0,0,2,2,0
322,0,0,0,1,2,0,0,0,0,0,0,0,1,0
323,0,0,0,3,15,0,8,0,0,0,0,0,0,1
324,9,2,3,13,4,0,13,10,9,0,1,0,15,0
325,0,17,14,3,2,0,13,0,0,0,0,0,0,0
326,10,2,9,6,19,0,7,0,0,0,17,0,0,0
327,16,2,17,10,11,19,20,0,0,0,0,0,0,0
328,0,0,0,2,0,0,0,0,0,0,0,0,0,0
329,18,20,1,14,12,0,7,11,19,0,10,8,0,0
330,0,0,0,2,0,0,0,0,0,0,0,0,0,0
331,0,0,0,1,1,0,0,0,2,2,0,0,1,0
332,0,0,0,19,16,0,18,0,0,0,0,6,0,0
333,0,0,0,1,0,0,0,0,0,0,0,0,0,0
334,0,0,0,11,0,0,0,0,0,0,0,15,0,0
335,10,20,19,10,6,0,16,17,1,0,11,0,0,0
336,0,11,17,6,7,0,17,0,0,0,0,0,0,0
337,12,1,9,14,9,0,7,0,19,0,15,0,0,0
338,0,18,8,7,11,10,13,0,0,18,0,0,20,0
339,0,0,0,12,0,0,0,0,0,0,0,0,0,0
340,0,0,0,14,19,8,0,0,0,0,0,0,0,0
341,0,0,0,19,0,0,0,0,17,0,0,0,20,0
342,17,8,10,6,6,0,2,0,11,0,0,0,0,0
343,0,0,6,17,18,0,20,0,16,0,0,0,1,9
344,0,0,0,12,0,0,0,0,0,0,0,0,0,0
345,4,19,8,4,20,0,14,3,5,0,1,0,0,13
346,0,0,0,13,16,0,0,0,0,0,0,0,0,0
347,18,5,2,19,19,0,16,11,7,0,10,0,0,0
348,0,0,0,7,0,0,0,0,9,0,0,0,0,0
349,0,0,0,8,0,0,0,0,0,0,0,0,0,0
350,7,12,8,11,18,0,8,0,0,0,12,0,0,0
351,0,0,0,1,2,0,0,0,0,1,0,0,0,0
352,0,0,0,10,0,0,0,0,0,0,0,0,0,0
353,0,0,0,12,1,19,0,0,5,0,0,0,7,0
354,0,0,0,9,3,0,0,0,0,0,0,0,0,0
355,11,12,16,16,11,0,14,7,0,0,9,0,7,0
356,0,0,8,16,6,0,2,0,0,9,0,0,0,0
357,0,0,0,2,0,0,0,0,0,0,0,0,0,0
358,0,0,0,10,13,0,5,0,0,0,0,10,0,0
359,0,0,0,1,0,0,0,0,0,0,0,0,0,0
360,16,7,13,15,15,0,19,0,3,0,7,19,13,0
361,0,0,0,2,2,0,0,0,3,0,0,0,0,0
362,20,13,2,3,15,0,3,0,0,17,14,0,0,7
363,0,0,0,11,0,0,0,0,0,0,0,0,0,0
364,8,5,2,13,6,0,7,0,0,0,0,0,0,0
365,0,0,0,16,0,3,0,0,0,0,0,0,0,0
366,0,0,0,3,0,0,0,0,0,0,0,0,0,0
367,0,0,0,13,13,0,0,0,0,0,0,4,0,0
368,0,0,0,9,6,13,0,0,0,15,0,0,0,0
369,0,0,0,3,0,0,0,0,0,0,0,0,0,0
370,0,14,14,7,17,1,12,0,0,0,0,17,0,0
371,15,20,14,14,4,0,11,11,7,0,17,0,6,0
372,13,10,20,12,6,0,9,0,0,0,16,18,14,0
373,0,0,0,5,19,0,10,0,0,0,0,0,14,0
374,0,0,0,14,0,0,0,0,0,0,0,0,0,0
375,0,0,0,1,1,0,0,0,0,1,0,0,0,0
376,0,0,0,5,8,0,0,0,9,0,0,0,0,0
377,0,0,0,9,0,10,0,0,0,0,0,0,0,0
378,0,0,0,7,0,0,0,0,0,0,0,0,0,0
379,6,3,20,8,7,0,17,0,0,0,0,0,0,0
380,0,0,0,4,0,0,0,0,0,0,0,14,0,0
381,0,0,0,2,0,0,0,0,0,0,0,0,0,0
382,0,0,0,13,5,0,0,0,0,0,0,2,0,20
383,0,0,0,1,2,0,0,0,0,0,0,2,0,0
384,13,5,14,20,4,0,3,0,12,0,2,0,0,0
385,0,0,0,2,0,0,0,0,0,0,0,0,0,0
386,20,15,11,8,17,0,16,11,2,0,8,0,0,0
387,0,0,0,13,15,7,0,0,0,0,0,11,0,9
388,0,0,0,20,0,0,0,0,0,0,0,0,0,0
389,0,0,0,1,2,2,0,0,0,0,0,0,2,0
390,0,0,0,9,0,0,0,0,0,0,0,0,0,0
391,3,10,14,2,1,0,20,11,0,0,16,0,0,0
392,0,0,0,2,2,0,0,0,0,0,0,2,0,0
393,1,19,3,5,12,0,2,0,0,0,0,0,0,0
394,0,9,1,3,5,0,16,0,0,0,0,0,0,13
395,0,0,14,3,15,0,5,0,0,0,0,0,0,0
396,10,13,8,13,1,0,19,0,9,0,0,0,0,0
397,0,0,0,11,1,0,0,0,0,0,0,13,0,0
398,0,0,0,18,10,20,0,0,0,0,0,0,11,0
399,17,18,18,8,9,0,16,0,20,0,2,0,0,0
400,0,0,0,5,0,0,0,0,0,0,0,0,0,0
401,0,0,0,1,2,1,0,0,0,0,0,2,0,0
402,0,0,0,6,10,0,0,0,19,13,0,0,3,0
403,0,0,16,9,11,0,18,0,0,0,0,0,0,0
404,0,0,0,10,0,0,0,0,0,0,0,0,0,0
405,0,0,0,2,1,0,0,0,2,0,0,0,0,0
406,0,0,0,17,19,0,0,0,0,0,0,14,0,0
407,0,0,0,14,9,0,0,0,3,0,0,0,0,0
408,0,0,0,17,0,0,0,0,0,0,0,0,0,0
409,0,17,3,14,12,11,14,0,0,0,0,0,13,0
410,0,0,0,12,0,0,0,0,0,0,0,0,0,0
411,0,0,0,1,0,0,0,0,1,0,0,0,0,0
412,0,0,17,19,5,20,18,0,11,0,0,15,0,0
413,0,0,0,1,2,0,0,0,0,0,0,0,0,0
414,5,5,10,7,8,0,20,12,10,0,11,0,1,0
415,12,3,13,9,17,0,20,15,0,6,2,0,0,0
416,1,4,16,1,10,0,3,8,0,0,7,20,0,0
417,0,0,0,15,2,0,9,0,20,0,0,15,14,0
418,0,0,0,18,0,0,0,0,15,0,0,0,0,0
419,0,0,12,13,2,0,19,0,0,0,0,11,0,0
420,0,0,0,17,12,0,0,0,0,3,0,2,0,0
421,1,18,11,10,18,2,9,13,0,0,4,0,0,0
422,0,0,20,14,11,0,7,0,0,0,0,0,0,0
423,0,0,0,17,13,0,13,0,5,0,0,16,0,0
424,1,12,16,11,4,0,4,0,12,0,0,19,0,0
425,0,0,0,9,0,0,0,0,0,0,0,0,0,0
426,0,0,12,6,2,0,20,0,0,0,0,0,0,0
427,8,14,5,10,1,0,7,3,3,0,1,0,0,0
428,0,0,0,16,0,0,0,0,0,0,0,0,0,0
429,0,0,0,20,0,0,0,0,0,0,0,0,0,0
430,0,0,20,10,3,0,8,0,1,0,0,0,0,0
431,0,0,0,20,17,3,0,0,17,0,0,0,0,0
432,0,0,0,9,0,0,0,0,0,0,0,0,0,0
433,0,0,0,8,4,11,12,0,0,0,0,9,1,0
434,12,6,4,19,9,15,4,8,0,0,1,10,20,0
435,0,0,0,12,13,0,14,0,1,0,0,6,2,0
436,0,0,0,19,20,0,0,0,8,0,0,11,0,0
437,0,0,0,2,0,0,0,0,0,0,0,0,0,0
438,0,0,0,1,2,0,0,0,2,0,0,0,0,0
439,0,14,13,17,15,0,6,0,0,0,0,0,0,0
440,12,11,18,16,16,20,17,15,0,0,19,8,17,0
441,0,0,0,1,19,6,18,0,0,0,0,0,0,0
442,0,0,0,4,8,0,0,0,2,0,0,0,0,0
443,8,17,12,3,14,0,11,7,0,0,17,0,8,0
444,0,0,0,19,13,11,0,0,17,0,0,0,0,0
445,19,17,19,7,4,0,13,8,4,0,10,0,11,0
446,0,0,0,1,2,0,0,0,1,0,0,2,0,0
447,20,1,12,19,15,0,19,14,0,0,13,0,0,0
448,0,0,7,17,11,0,5,0,8,0,0,0,16,0
449,15,19,18,4,14,0,5,0,0,0,0,0,0,0
450,0,0,0,2,15,0,7,0,19,0,0,0,18,0
451,9,9,11,17,7,9,14,18,10,0,19,0,0,0
452,3,10,17,7,12,0,17,0,0,0,0,0,0,0
453,0,0,0,7,0,16,0,0,0,0,0,0,0,0
454,17,12,4,9,10,6,1,6,0,0,15,18,0,0
455,7,16,6,17,11,15,14,9,0,0,11,3,0,0
456,0,0,0,17,0,0,0,0,0,0,0,0,0,0
457,16,10,14,18,11,20,12,15,2,0,19,0,0,0
458,0,0,0,1,1,0,0,0,0,0,0,0,2,0
459,0,0,0,20,0,13,0,0,0,0,0,0,0,0
460,12,14,11,2,20,4,11,5,0,0,5,16,14,0
